MonthStart,HICP YoY (%)
2023-06-01 00:00:00,11
2023-07-01 00:00:00,10.3
2023-08-01 00:00:00,9.5
2023-09-01 00:00:00,7.7
2023-10-01 00:00:00,6.3
2023-11-01 00:00:00,6.3
2023-12-01 00:00:00,6.2
2024-01-01 00:00:00,4.5
2024-02-01 00:00:00,3.7
2024-03-01 00:00:00,2.7
2024-04-01 00:00:00,3
2024-05-01 00:00:00,2.8
2024-06-01 00:00:00,2.9
2024-07-01 00:00:00,4
2024-08-01 00:00:00,4
2024-09-01 00:00:00,4.2
2024-10-01 00:00:00,4.2
2024-11-01 00:00:00,3.9
2024-12-01 00:00:00,3.9
2025-01-01 00:00:00,4.3
2025-02-01 00:00:00,4.3
2025-03-01 00:00:00,4.4
2025-04-01 00:00:00,3.7
2025-05-01 00:00:00,3.5
